ID,RA,DEC,Field,B,A,FLUX_RADIUS_50,THETA,FWHM,r_auto
DR4_3_STRIPE82-0006_0000063,2.3038224934827554,0.021970652011256146,STRIPE82-0006,0.00036182426,0.00041836256,1.6852536,4.7270885,0.00039605843,14.643708
DR4_3_STRIPE82-0006_0000093,2.1683579668963113,0.02204101748640552,STRIPE82-0006,0.00037773556,0.00041065397,1.7013685,1.8182598,0.0004158607,14.752519
DR4_3_STRIPE82-0006_0000094,2.3737895541033853,0.025971993747486943,STRIPE82-0006,0.00031443956,0.0003396235,1.6532794,21.085375,0.0003901633,16.67217
DR4_3_STRIPE82-0006_0000157,2.4484361315187524,0.030516024770092975,STRIPE82-0006,0.00031176032,0.00033046448,1.655461,25.862778,0.00038039708,16.486681
DR4_3_STRIPE82-0006_0000196,2.116407367689763,0.026891642142030284,STRIPE82-0006,0.00032803576,0.0003614772,1.7328433,1.3723631,0.00041549857,16.249062
DR4_3_STRIPE82-0006_0000216,2.2809637782123278,0.03101687757660091,STRIPE82-0006,0.00033510424,0.00035265274,1.6476755,34.12508,0.00039475266,16.139198
DR4_3_STRIPE82-0006_0000240,2.2892340845608667,0.03160211747102082,STRIPE82-0006,0.00033201868,0.00035379184,1.6586435,36.077526,0.00039195057,15.854179
DR4_3_STRIPE82-0006_0000271,2.6552497038708864,0.032436073152366705,STRIPE82-0006,0.00035221994,0.00037857197,1.6105129,-48.128887,0.00036625672,16.369467
DR4_3_STRIPE82-0006_0000279,3.173790213384477,0.03367686069752817,STRIPE82-0006,0.00030521862,0.00032465882,1.4614319,18.554134,0.0003379316,16.98352
DR4_3_STRIPE82-0006_0000284,2.796478621393387,0.035337945077402816,STRIPE82-0006,0.0003174955,0.00031990831,1.6631883,-77.59683,0.0003756148,16.46656
DR4_3_STRIPE82-0006_0000313,3.1015708266004767,0.034214046483556936,STRIPE82-0006,0.00035885655,0.0003678315,1.5754071,28.811264,0.00034716626,15.431367
DR4_3_STRIPE82-0006_0000400,2.8477816177302464,0.03822669885465145,STRIPE82-0006,0.00034534946,0.00035953775,1.60272,30.63904,0.00035704343,15.3592825
DR4_3_STRIPE82-0006_0000443,2.4149311437112466,0.04106409673876324,STRIPE82-0006,0.00029345936,0.00031529443,1.5692681,41.821575,0.00038144283,16.612436
DR4_3_STRIPE82-0006_0000634,2.9176508242306136,0.03502537331150767,STRIPE82-0006,0.00043580946,0.000512988,1.8079919,0.43851164,0.00048018928,11.890834
DR4_3_STRIPE82-0006_0000701,2.21054618421002,0.039169006601034,STRIPE82-0006,0.00046462836,0.0005166833,1.6978314,-4.460982,0.00042269434,13.435661
DR4_3_STRIPE82-0006_0000719,2.9211971917473654,0.05072851391675419,STRIPE82-0006,0.00031267476,0.00034271425,1.5051478,80.46362,0.0003555602,16.488573
DR4_3_STRIPE82-0006_0000813,2.802717338255421,0.04752288046530495,STRIPE82-0006,0.00042303948,0.00045422706,1.6233401,15.296186,0.00036705338,13.66849
DR4_3_STRIPE82-0006_0000847,2.9647433407497017,0.04752252868132182,STRIPE82-0006,0.00044818115,0.0004748493,1.8569227,71.288956,0.0005640711,14.395699
DR4_3_STRIPE82-0006_0000947,2.5182141486353338,0.05369156855416138,STRIPE82-0006,0.00039640765,0.0004210091,1.6098076,19.142761,0.00039257665,14.768642
DR4_3_STRIPE82-0006_0000986,3.465017826181977,0.05792119371088175,STRIPE82-0006,0.00036236166,0.00038206406,1.536142,46.606667,0.00035465797,15.266861
DR4_3_STRIPE82-0006_0000988,2.6086191107325076,0.05978709322490793,STRIPE82-0006,0.00034052724,0.0003517217,1.5967133,-79.76139,0.00037411528,16.485191
DR4_3_STRIPE82-0006_0001034,2.183245564491622,0.045493230289658286,STRIPE82-0006,0.0004730151,0.0005015454,1.7615263,1.0186833,0.00042469724,13.010633
DR4_3_STRIPE82-0006_0001045,3.4185601644016708,0.06268262364995028,STRIPE82-0006,0.00031748923,0.000344965,1.4920808,59.167904,0.0003398825,16.9349
DR4_3_STRIPE82-0006_0001053,3.3052158440943384,0.047492560635162974,STRIPE82-0006,0.00048315598,0.0005124629,1.615921,14.627717,0.00036592528,12.685804
DR4_3_STRIPE82-0006_0001065,3.3266944597260553,0.058543208438506585,STRIPE82-0006,0.00040163606,0.00042045568,1.5573993,46.13164,0.00034670983,14.461176
DR4_3_STRIPE82-0006_0001147,2.7217007469712304,0.06157436053209445,STRIPE82-0006,0.00039085423,0.00040648747,1.5676664,17.37392,0.00035901426,14.865785
DR4_3_STRIPE82-0006_0001176,3.4049483610037887,0.06293589958518445,STRIPE82-0006,0.00037805713,0.00039169716,1.5754156,55.002575,0.00034848345,14.894155
DR4_3_STRIPE82-0006_0001207,2.7880096672789922,0.06775797531511388,STRIPE82-0006,0.00033377853,0.00034105315,1.5504498,-9.015833,0.00035069283,15.964102
DR4_3_STRIPE82-0006_0001244,2.659522323515395,0.05948392060745757,STRIPE82-0006,0.0004513069,0.0004592414,1.5895417,20.913584,0.0003652822,14.532066
DR4_3_STRIPE82-0006_0001266,2.3006161164989667,0.07608345806912774,STRIPE82-0006,0.00012203958,0.00023380501,4.1584935,-11.543934,0.0007228269,12.45392
DR4_3_STRIPE82-0006_0001268,2.0619438641412646,0.0697357027344661,STRIPE82-0006,0.00032788966,0.00034842032,1.7036316,15.5987015,0.0004201664,16.765858
DR4_3_STRIPE82-0006_0001297,2.656455673261422,0.057788120481550756,STRIPE82-0006,0.00041030988,0.00043483733,1.6403816,70.96858,0.0003717829,16.439304
DR4_3_STRIPE82-0006_0001343,2.8486202761267823,0.06730500519913153,STRIPE82-0006,0.00040162937,0.0004138586,1.5259053,54.82553,0.00035490477,14.39153
DR4_3_STRIPE82-0006_0001384,2.3819417145926773,0.0723732546126924,STRIPE82-0006,0.0003595893,0.00037420128,1.6245683,25.789518,0.0003904447,15.801243
DR4_3_STRIPE82-0006_0001403,3.4086796488108755,0.07479060274153247,STRIPE82-0006,0.00031015818,0.00033993772,1.5211622,67.68808,0.00034478545,16.554102
DR4_3_STRIPE82-0006_0001417,3.2724537358546626,0.0717249596854987,STRIPE82-0006,0.00032738218,0.0003483395,1.4628011,25.549608,0.00033748956,16.379862
DR4_3_STRIPE82-0006_0001447,2.096354003589587,0.06669416504660265,STRIPE82-0006,0.000459485,0.00048044932,1.7281599,-6.0807776,0.0004243669,13.286468
DR4_3_STRIPE82-0006_0001448,3.2724549632679207,0.0780405310836123,STRIPE82-0006,0.00031219723,0.0003322289,1.5247923,26.11179,0.0003378993,16.40067
DR4_3_STRIPE82-0006_0001458,2.319981720838268,0.06741821472942218,STRIPE82-0006,0.00048851344,0.00073331816,1.728363,-31.117252,0.0003860868,14.694522
DR4_3_STRIPE82-0006_0001509,3.010335924442801,0.079444111005569,STRIPE82-0006,0.00030590722,0.00032611247,1.5520957,-88.96248,0.0003396597,16.646273
DR4_3_STRIPE82-0006_0001546,2.497188290531343,0.07670869855698138,STRIPE82-0006,0.00039651134,0.0004322358,1.6260171,19.951027,0.00037643078,14.897583
DR4_3_STRIPE82-0006_0001558,2.135341571109933,0.0811459010205119,STRIPE82-0006,0.000322679,0.00033959607,1.7082375,8.190413,0.0004091069,16.404922
DR4_3_STRIPE82-0006_0001591,3.15656344708394,0.08222793913015489,STRIPE82-0006,0.00032433623,0.0003337002,1.5263832,20.505106,0.00034262027,16.027647
DR4_3_STRIPE82-0006_0001658,2.1497252881713838,0.07741515378134897,STRIPE82-0006,0.00043253598,0.00045707115,1.7247878,-0.3924408,0.00041885106,13.9957905
DR4_3_STRIPE82-0006_0001666,2.4390688217471683,0.0856180101549547,STRIPE82-0006,0.00029834022,0.00035708098,1.9410946,18.753801,0.00072018465,16.720861
DR4_3_STRIPE82-0006_0001898,2.1234437581669066,0.08211455850591166,STRIPE82-0006,0.00043482843,0.0004467929,1.6902318,61.891113,0.00042649938,14.418298
DR4_3_STRIPE82-0006_0002023,2.430085145190151,0.09311896534354779,STRIPE82-0006,0.00038834062,0.00041285437,1.6436664,19.62932,0.00039545808,14.83171
DR4_3_STRIPE82-0006_0002113,2.3036863239243233,0.08460728259117546,STRIPE82-0006,0.0010267547,0.0017173433,61.184086,78.35149,0.00042085224,12.111694
DR4_3_STRIPE82-0006_0002137,3.0697669010654165,0.09703348530913235,STRIPE82-0006,0.00036932316,0.00040074417,1.5452815,23.277246,0.00035231165,15.193922
DR4_3_STRIPE82-0006_0002222,2.350405181989122,0.08679998371958661,STRIPE82-0006,0.00089228456,0.000956148,1.9818786,62.34853,0.0004123974,15.216192
DR4_3_STRIPE82-0006_0002240,2.8837308637401726,0.11058733662186307,STRIPE82-0006,7.2320334e-05,0.00018719751,1.8133644,-9.750034,0.0006902445,16.053238
DR4_3_STRIPE82-0006_0002241,3.238305754561809,0.10283626424686097,STRIPE82-0006,0.0003734247,0.0003890907,1.558052,52.906048,0.00033416247,15.256214
DR4_3_STRIPE82-0006_0002275,2.2568456403975614,0.1068646753561553,STRIPE82-0006,0.00030885616,0.00034520065,1.5731752,27.188492,0.0004033564,16.53829
DR4_3_STRIPE82-0006_0002321,3.235973475798886,0.10873454719899449,STRIPE82-0006,0.00030532826,0.00033158672,1.5304402,42.64591,0.00033709584,16.532051
DR4_3_STRIPE82-0006_0002573,3.198851100513621,0.1184391907360604,STRIPE82-0006,0.00028583166,0.00030263074,1.4927204,22.96202,0.00034091724,16.898176
DR4_3_STRIPE82-0006_0002581,3.3250892454797953,0.1161061774399264,STRIPE82-0006,0.00031704147,0.00032840192,1.5158067,-68.54723,0.00034569282,16.432323
DR4_3_STRIPE82-0006_0002587,2.562064786077841,0.11325104555122581,STRIPE82-0006,0.00040178798,0.0004076871,1.5773746,-29.736908,0.00036729255,14.956492
DR4_3_STRIPE82-0006_0002635,2.568987943909638,0.116415067209179,STRIPE82-0006,0.00035247483,0.00037024426,1.5999542,31.439867,0.00036531844,15.755816
DR4_3_STRIPE82-0006_0002673,3.2710514340043737,0.11615077322836877,STRIPE82-0006,0.0003878513,0.000411043,1.547588,27.854946,0.00035408227,14.673899
DR4_3_STRIPE82-0006_0002703,3.1150732875447638,0.11976573236239242,STRIPE82-0006,0.0003217187,0.00034409936,1.5307721,-51.031925,0.00033902266,16.308544
DR4_3_STRIPE82-0006_0002713,2.1310677455867806,0.11621515571036216,STRIPE82-0006,0.0004047178,0.00042561264,1.7207493,-0.87346447,0.00041791482,14.466895
DR4_3_STRIPE82-0006_0002752,2.9843643978666843,0.12198562794155485,STRIPE82-0006,0.00032483623,0.00033221618,1.5161912,71.72169,0.00034343882,16.66446
